No,Text,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4,Question5,Answer5,,,
12,"Rinse the rope with warm water, slowly changing the temperature to cold. Run warm to hot water over the rope and squeeze away the excess dye. Over time, change the water from hot to cold. Continue this process until the water running through the rope is clear. If the color is too dark, continue using warm water until you reach your desired color. Only when you’re happy with the color should you switch to cold water.",How to wash the dye?,"Rinse the rope with warm water, slowly changing the temperature to cold. Run warm to hot water over the rope and squeeze away the excess dye.",When should I change water temperature?,"Over time, change the water from hot to cold. Continue this process until the water running through the rope is clear.",What should I do if the color is still too dark?,"If the color is too dark, continue using warm water until you reach your desired color. Only when you’re happy with the color should you switch to cold water.",,,,,,,
13,"Lightly season. Microwave cooking results in a texture much like steamed vegetables (which makes sense; microwave radiation excites water molecules in food, which increases temperature and results in water converting to steam). Heavy seasoning is rarely necessary because the vegetable retains much of its original flavor. A little bit of salt and pepper is sufficient; a pinch of spices or herbs will be more than enough.",Why microwave cooking vegetables taste like steamed?,"Microwave cooking results in a texture much like steamed vegetables (which makes sense; microwave radiation excites water molecules in food, which increases temperature and results in water converting to steam).",Any seasoning recommendations?,Heavy seasoning is rarely necessary because the vegetable retains much of its original flavor. A little bit of salt and pepper is sufficient; a pinch of spices or herbs will be more than enough.,How long should I cook the vegetables in microwave?,[No Answer],,,,,,,
14,Look at your gardening area. Ask yourself these questions: Is it a small pot in the patio? A raised bed in the backyard? A garden in an extremely humid or cold place? Is it in the shade or the hot sun? These questions will benefit your choice.,How to make my choice?,Look at your gardening area. Ask yourself these questions: Is it a small pot in the patio? A raised bed in the backyard? A garden in an extremely humid or cold place? Is it in the shade or the hot sun? ,What kinds of gardening areas there are?,Look at your gardening area. Ask yourself these questions: Is it a small pot in the patio? A raised bed in the backyard? A garden in an extremely humid or cold place? Is it in the shade or the hot sun? ,What to do next?,[No Answer],,,,,,,
15,"Find an area that provides 6 or more hours of direct sunlight daily. Anything less is not considered full sunlight. Keep in mind that the 6 hours of sunlight does not have to be continuous. Partial sunlight is 4 to 6 hours and — although it probably won't kill the tree — is not ideal. Shade can decreases your tree's vigor, which can lead to thinning and heightened disease susceptibility. Full sunlight isn't as important in the tree's later years, as mature trees will usually grow tall enough to avoid being shaded by other plants and trees.",Which is the best area for tree to grow?,Find an area that provides 6 or more hours of direct sunlight daily. Anything less is not considered full sunlight. Keep in mind that the 6 hours of sunlight does not have to be continuous.,Is less than 6 hour sunlight ok?,Partial sunlight is 4 to 6 hours and — although it probably won't kill the tree — is not ideal. ,Why sunlight is so important?,"Shade can decreases your tree's vigor, which can lead to thinning and heightened disease susceptibility. Full sunlight isn't as important in the tree's later years, as mature trees will usually grow tall enough to avoid being shaded by other plants and trees.",,,,,,,
16,"Look for a cab that's unoccupied. Many cities have cabs with lights or signs that indicate if they’re in service or not. Look for a cab with a lit-up sign on the roof -- that usually means it’s open and unoccupied. If you’re having a hard time figuring out which cabs are taken and which are available, ask a local for help. If there’s no one around you, try looking it up online using your phone. Go to the official website for the city you’re in and look for tips on hailing a cab.",How to find a cab?,Many cities have cabs with lights or signs that indicate if they’re in service or not. Look for a cab with a lit-up sign on the roof -- that usually means it’s open and unoccupied. ,How can I ask for help?,"If you’re having a hard time figuring out which cabs are taken and which are available, ask a local for help.",What if there's no one I can ask?,"If there’s no one around you, try looking it up online using your phone. Go to the official website for the city you’re in and look for tips on hailing a cab.",,,,,,,
17,"Pay attention to winter versus summer sun. If the area to the east is open and sunny, it will get more sun November through February. Winter sun has a lower angle, so trees, houses and other structures are more likely to pose a problem. Do not choose a location near evergreen trees. Deciduous trees lose their leaves and will not shade the location in the winter, when the greenhouse requires more sun.",Where has the most sunlight in winter?,"If the area to the east is open and sunny, it will get more sun November through February. Winter sun has a lower angle, so trees, houses and other structures are more likely to pose a problem. ",Can I choose a location near trees?,"Do not choose a location near evergreen trees. Deciduous trees lose their leaves and will not shade the location in the winter, when the greenhouse requires more sun.",Where can I choose during summer?,[No Answer],,,,,,,
18,"Ask for a waiver if it's your first violation. Call the Violation Processing Center at 1-973-368-1425 and provide your violation number to the representative. Explain that it's your first violation and request they waive the $50 administrative fee. If you can get the fee waived, you'll only have to pay the toll. While this can be frustrating if you were sent the violation in error, it may take more time and effort than it would be worth simply to avoid paying $1.50.",What's the phone number?,Call the Violation Processing Center at 1-973-368-1425 and provide your violation number to the representative. ,What should I say when calling?,"Explain that it's your first violation and request they waive the $50 administrative fee. If you can get the fee waived, you'll only have to pay the toll. ",Why they still need me to pay for the administrative fee?,"While this can be frustrating if you were sent the violation in error, it may take more time and effort than it would be worth simply to avoid paying $1.50.",,,,,,,
19,Prepare another rice krispie layer with the rest of the ingredients. Melt the remaining 6 tablespoons (85 grams) of butter and 4 cups (200 grams) of mini marshmallows in the microwave. Stir them into the remaining 5 cups (125 grams) of puffed rice cereal.,What ingredients should I prepare?,Melt the remaining 6 tablespoons (85 grams) of butter and 4 cups (200 grams) of mini marshmallows in the microwave. Stir them into the remaining 5 cups (125 grams) of puffed rice cereal.,How to make the rice krispie?,Melt the remaining 6 tablespoons (85 grams) of butter and 4 cups (200 grams) of mini marshmallows in the microwave. Stir them into the remaining 5 cups (125 grams) of puffed rice cereal.,Can I replace some ingredients?,[No Answer],,,,,,,
20,"Dry the carpet in an area with good air flow. Once the stain is removed, set up an electric fan blowing over the wet area, or open the windows and doors to create a breeze. This speeds up drying, which reduces the chance of hidden blood in the backing rising to the surface.",How to dry the carpet?,"Dry the carpet in an area with good air flow. Once the stain is removed, set up an electric fan blowing over the wet area, or open the windows and doors to create a breeze. ",Why should I use a fan?,"This speeds up drying, which reduces the chance of hidden blood in the backing rising to the surface.",Can I dry the carpet in the yard?,[No Answer],,,,,,,
21,"Get the right tools. Deadheading might seem simple: just take the end off, but if you don't do it right, it could still be fatal to the plant. So, first, you'll want to have the right tools: Scissors (you'll want these especially for deadheading because they can't be used on paper after this). Clippers (these are for the bigger stems). Kneeling pad (or else your knees will have a hard time. You can get one of these at a planting store for about $1.00.). Bucket or something to put them in instead of the ground.",Is deadheading simple to do?,"Deadheading might seem simple: just take the end off, but if you don't do it right, it could still be fatal to the plant. ",How to deadheading?,"So, first, you'll want to have the right tools: Scissors (you'll want these especially for deadheading because they can't be used on paper after this). Clippers (these are for the bigger stems). Kneeling pad (or else your knees will have a hard time. You can get one of these at a planting store for about $1.00.).",Where should I put those materials?,Bucket or something to put them in instead of the ground.,,,,,,,
22,"Close Velcro tabs on garments before washing them. When you wash Velcro it will pick up lint, hair, and anything else floating around in the washing machine. Keep the hook and loop fasteners closed when you wash Velcro to keep this from happening. Wash garments that contain Velcro separately from other items when possible.",What should I notice when washing the Velcro?,"When you wash Velcro it will pick up lint, hair, and anything else floating around in the washing machine. Keep the hook and loop fasteners closed when you wash Velcro to keep this from happening.",Can I wash Velcro with other stuff?,Wash garments that contain Velcro separately from other items when possible.,Can I wash the Velco by hands?,[No Answer],,,,,,,
23,Pull up on the plant’s neck to uproot the onion. Firmly grab the base of the green leaves and pull up to extract it from the ground. Loosen the soil with the spade more if you’re having trouble getting it out of the ground. Handle onions carefully so that you don’t bruise them. Bruising will cause rot.,How to grab the onion?,Firmly grab the base of the green leaves and pull up to extract it from the ground.,How to easily grab the onion?,Loosen the soil with the spade more if you’re having trouble getting it out of the ground. ,What to notice when grabbing onion?,Handle onions carefully so that you don’t bruise them. Bruising will cause rot.,,,,,,,
24,"Remove any plastic accessories with a screwdriver. Bag any plastic components of the extinguisher, such as the tubing or hangers used to secure the extinguisher to the wall. The extinguisher is now ready to be recycled with the manufacturer or a local facility.",How should I deal with little pieces?,"Bag any plastic components of the extinguisher, such as the tubing or hangers used to secure the extinguisher to the wall.",What can I do with the extinguisher?,The extinguisher is now ready to be recycled with the manufacturer or a local facility.,How to use the screwdriver?,[No Answer],,,,,,,
25,"Reserve a space for guests to give each other massages. You don't need to have any special equipment for a massage station. Just lay out a yoga mat or other padded mat with a small pillow in a quiet corner of the room. Add some nice-smelling body lotions or massage oils and encourage your guests to take turns giving each other neck, back, and shoulder rubs. Some guests may not be comfortable with giving or getting massages. Make sure everyone at your party is feeling good by letting everyone know it's okay to opt out if they don't want to participate.",How to set up a massage station?,You don't need to have any special equipment for a massage station. Just lay out a yoga mat or other padded mat with a small pillow in a quiet corner of the room.,What should I buy for my massage station?,"Add some nice-smelling body lotions or massage oils and encourage your guests to take turns giving each other neck, back, and shoulder rubs.",Any other thing I should notice for massage station?,Some guests may not be comfortable with giving or getting massages. Make sure everyone at your party is feeling good by letting everyone know it's okay to opt out if they don't want to participate.,,,,,,,
26,"Choose a sailboat bookshelf. You can buy a bookshelf online or possibly from a local furniture store shaped like a sailboat or canoe. This can be a cute way to add to the nautical theme of your nursery. Having a sailboat propped up against the wall will make visitors notice the ocean setting. If you opt for a mural, try placing the bookshelf near the mural. You can do something like paint sand near the floor and fish floating around the sailboat. This can create a sunken ship effect. Personalize the bookshelf by painting your baby's name on it as if it was the name of the boat. Then, fill the shelf with books and stuffed animals that compliment your nursery theme.",Where can I find a sailboat shaped book shelf?,You can buy a bookshelf online or possibly from a local furniture store shaped like a sailboat or canoe. This can be a cute way to add to the nautical theme of your nursery. ,How should I decorate the room?,"Having a sailboat propped up against the wall will make visitors notice the ocean setting. If you opt for a mural, try placing the bookshelf near the mural. You can do something like paint sand near the floor and fish floating around the sailboat. This can create a sunken ship effect.",How to personalize my decoration?,"Personalize the bookshelf by painting your baby's name on it as if it was the name of the boat. Then, fill the shelf with books and stuffed animals that compliment your nursery theme.",,,,,,,
27,"Add 3 teaspoons (15 ml) of water to the powder. It doesn’t matter what the water temperature is and it’s totally fine to use tap water for this. You can also choose to use filtered, bottled, or purified water if you prefer the taste of that. Measure out the water and add it to the powder in the bowl.",Is the temperature of water matter?,It doesn’t matter what the water temperature is and it’s totally fine to use tap water for this.,What kind of water should I use?,"You can also choose to use filtered, bottled, or purified water if you prefer the taste of that.",How much water should I use?,Add 3 teaspoons (15 ml) of water to the powder.,,,,,,,
28,"Melt the chocolate in a double broiler. While the maple mixture cools for 20 minutes, place one inch (2.54 cm) of water into the bottom of a double boiler or a medium saucepan. Place it on the stove and turn the heat to medium until the water begins to simmer. Then chop the chocolate and place it into the top of double broiler, or a heat-safe plate, and put it over the bottom of the broiler. Stir the chocolate with a spatula continuously until it has melted. Pour and scrape the melted chocolate into a bowl, then set it aside. You can also melt chocolate in the microwave by microwaving it for 20 second intervals, then stirring. Chocolate can scald easily in the microwave if overcooked, so when the chocolate is mostly melted, take it out and stir it for around fifteen seconds until it has melted completely.",How long should the maple mixture be cooled?,"While the maple mixture cools for 20 minutes, place one inch (2.54 cm) of water into the bottom of a double boiler or a medium saucepan. ",How to melt the chocolate?,"Place it on the stove and turn the heat to medium until the water begins to simmer. Then chop the chocolate and place it into the top of double broiler, or a heat-safe plate, and put it over the bottom of the broiler. Stir the chocolate with a spatula continuously until it has melted. ",Can I use microwave to melt the chocolate?,"You can also melt chocolate in the microwave by microwaving it for 20 second intervals, then stirring. Chocolate can scald easily in the microwave if overcooked, so when the chocolate is mostly melted, take it out and stir it for around fifteen seconds until it has melted completely.",,,,,,,
29,"Make a patchwork quilt. Cut rectangular pieces of fabric from outgrown clothing and blankets, and sew them together to make a quilt. Some children really enjoy touching the various textures and seeing all of the different colors and patterns, even if they don’t remember wearing or using the items themselves. If parts of the clothes are too small – like socks – sew them onto one of the other patches. These quilts make excellent heirlooms. Consider keeping a record of which patches came from where.",How to sew a quilt?,[No Answer],Why make a patchwork quilt?,"Some children really enjoy touching the various textures and seeing all of the different colors and patterns, even if they don’t remember wearing or using the items themselves.",What if I have really small pieces?,If parts of the clothes are too small – like socks – sew them onto one of the other patches. These quilts make excellent heirlooms. Consider keeping a record of which patches came from where.,,,,,,,
30,"Evaluate fat content. Fat content is the ratio of fat to meat in a burger patty. Extra lean ground meat is usually labeled as 93/7, which means it's 93 percent meat and 7 percent fat. This content is healthier than others found in burger patties, but the meat can dry out faster and be less flavorful. A patty with 80/20 meat is 80 percent meat and 20 percent fat. These burger patties will be more juicy and flavorful and get a better sear on the outside.",What is fat content?,"Fat content is the ratio of fat to meat in a burger patty. Extra lean ground meat is usually labeled as 93/7, which means it's 93 percent meat and 7 percent fat. ",What is extra lean?,"Extra lean ground meat is usually labeled as 93/7, which means it's 93 percent meat and 7 percent fat. This content is healthier than others found in burger patties, but the meat can dry out faster and be less flavorful.",What fat content is more juicy?,A patty with 80/20 meat is 80 percent meat and 20 percent fat. These burger patties will be more juicy and flavorful and get a better sear on the outside.,,,,,,,
31,"Hand wash leather for basic maintenance and deep cleaning. Hand cleaning is great for spot treating scuff marks and dirt, but it’s also an effective way of deep cleaning leather. Although if your item is expensive or made of hard leather, a professional cleaner might be the safest cleaning method.",Why use hand to wash leather?,"Hand cleaning is great for spot treating scuff marks and dirt, but it’s also an effective way of deep cleaning leather.",What is the best choice for clean hard leather?,"Although if your item is expensive or made of hard leather, a professional cleaner might be the safest cleaning method.",How to use hand to clean the leather?,[No Answer],,,,,,,
32,"Add 5 to 10 dashes of Tabasco sauce. If you can't find any Tabasco sauce, you can use any other type of hot sauce. Keep the bottle as close as possible to the surface of the drink so that the sauce floats on top. Do not stir it.",How much sauce should I add?,Add 5 to 10 dashes of Tabasco sauce.,"I don't have any Tabasco sauce, what should I do?","If you can't find any Tabasco sauce, you can use any other type of hot sauce.",Can I stir the sauce?,Keep the bottle as close as possible to the surface of the drink so that the sauce floats on top. Do not stir it.,,,,,,,
33,"Get cold smoked salmon if you’re looking for a silkier texture. Cold smoked salmon refers to salmon that is smoked at any temperature lower than 80 °F (27 °C), typically for 15 hours or more. Since the salmon is never really heated, it maintains a lot of its raw textures, and tends to be smoother than hot smoked salmon. It’s most commonly-used on bagels, crackers, or consumed on its own as a simple snack.Tip: Cold smoked salmon can be consumed without cooking or heating it. Any dangerous bacteria will make the fish go bad, so as long as it’s not rotting or past its expiration date, you don’t need to cook it. Cold smoked salmon is often marketed as Nova. Nova is simply short for Nova Scotia, and these cold smoked salmons were caught off of the eastern shores of North America and Canada.",How does code smoked salmon make?,"Cold smoked salmon refers to salmon that is smoked at any temperature lower than 80 °F (27 °C), typically for 15 hours or more.",Why should I choose cold smoked salmon?,"Since the salmon is never really heated, it maintains a lot of its raw textures, and tends to be smoother than hot smoked salmon.",Is the salmon safe to eat?,"Any dangerous bacteria will make the fish go bad, so as long as it’s not rotting or past its expiration date, you don’t need to cook it.",,,,,,,
34,Include past employers on your resume. It is considered standard procedure to include a list of your past employers over a period of ten years. This will demonstrate that you were able to be committed to some form of employment during this time and can also demonstrate your skills and capabilities. Make sure your list is complete and contains the following details about your past employers: Full name of the employer The date you were hired and the date you left. Where that employer was located. Focus on your roles and responsibilities with that employer.,My should I include a list of my past employers?,It is considered standard procedure to include a list of your past employers over a period of ten years. This will demonstrate that you were able to be committed to some form of employment during this time and can also demonstrate your skills and capabilities.,What should I include when writing the list of past employers?,Make sure your list is complete and contains the following details about your past employers: Full name of the employer The date you were hired and the date you left. Where that employer was located. Focus on your roles and responsibilities with that employer.,In what order should I listed my past employers?,[No Answer],,,,,,,
35,"Leave a washed roller on a hanger until it is completely dry. One easy way to keep your rollers safe is by putting them onto clothes hangers. Cut off one side of a hanger, then slide the roller over the bottom part. Hang the roller, such as on a bathroom shower rod. Drying the roller this way helps save the nap so it stays fluffy and consistent. If you don’t have a hanger, another strategy is to stand the roller on its side. Be careful to avoid resting the roller on the floor, since that could compress its nap, causing it to paint unevenly.",How to dry the roller?,"One easy way to keep your rollers safe is by putting them onto clothes hangers. Cut off one side of a hanger, then slide the roller over the bottom part. Hang the roller, such as on a bathroom shower rod.",Why should I dry the roller?,Drying the roller this way helps save the nap so it stays fluffy and consistent.,Why should I hang the roller?,"If you don’t have a hanger, another strategy is to stand the roller on its side. Be careful to avoid resting the roller on the floor, since that could compress its nap, causing it to paint unevenly.",,,,,,,
36,"Buy a thicker cut of meat. Thicker cuts are easier to cook at home than thinner cuts. If you can't eat a whole thick-cut steak by yourself, divide it up once it's cooked. Also, picking one with a bone adds more flavor to the final dish. Better cuts of ribeye will have fat marbled throughout the steaks in thin ribbons and small dots.",Which kind of meat is easier to cook?,"Thicker cuts are easier to cook at home than thinner cuts. If you can't eat a whole thick-cut steak by yourself, divide it up once it's cooked.",What kind of meat has more flavor?,"Also, picking one with a bone adds more flavor to the final dish.",What is the standard to choose meat?,Better cuts of ribeye will have fat marbled throughout the steaks in thin ribbons and small dots.,,,,,,,
37,"Cover the pan and allow the dough to rise. Once the babka dough is arranged in the pan, cover it loosely with plastic wrap. Let it rise until it nearly doubles in size again, which should take approximately 1 hour. It helps to place the dough in a warm spot when you’re waiting for it to rise.",How to deal with the babka dough?,"Once the babka dough is arranged in the pan, cover it loosely with plastic wrap.",How long should the dough rise?,"Let it rise until it nearly doubles in size again, which should take approximately 1 hour. ",How to speed up the dough rising?,It helps to place the dough in a warm spot when you’re waiting for it to rise.,,,,,,,
38,"State your whole order at once. If your iced coffee has add-ons, make sure to specify those in your order so that they don't get forgotten. Telling the barista your whole order and not trying to add additional flavors/sweeteners afterward can speed up and simplify your ordering process. For example, say something like “tall iced coffee with cream and sugar,” or “grande vanilla iced coffee.”",What should I do to prevent barista forgetting my order?,"If your iced coffee has add-ons, make sure to specify those in your order so that they don't get forgotten. ",How to fasten the order time?,Telling the barista your whole order and not trying to add additional flavors/sweeteners afterward can speed up and simplify your ordering process.,How can I order?,"For example, say something like “tall iced coffee with cream and sugar,” or “grande vanilla iced coffee.”",,,,,,,
39,"Troubleshoot if necessary. If the oil is still stuck at the bottom after a couple hours, turn it off and let it cool completely before you mess with it. Once it reaches room temperature, carefully unscrew it and try one of the following adjustments: Stir in a few spoonfuls of salt water to increase the density of the alcohol mixture. Shake the lava lamp gently to separate the oil into smaller blobs. Don't overdo this, or you'll end up with sludge instead of lava. If the oil has separated into tiny balls, mix in a spoonful of turpentine or other paint solvent. These are dangerous chemicals, so don't try this if the lamp is reachable by children or pets.",What should I do if the oil is stuck at the bottom?,"If the oil is still stuck at the bottom after a couple hours, turn it off and let it cool completely before you mess with it.",What should I do after the oil is cool down?,"Once it reaches room temperature, carefully unscrew it and try one of the following adjustments: Stir in a few spoonfuls of salt water to increase the density of the alcohol mixture. Shake the lava lamp gently to separate the oil into smaller blobs.",What should I do after the oil has separated into small balls?,"If the oil has separated into tiny balls, mix in a spoonful of turpentine or other paint solvent. ",,,,,,,
40,"Find argon gas. The shielding gas is what protects the material you are welding from the environment. Oxygen and water vapor getting into your project will weaken the weld. The gas you’ll use is argon, possibly combined with some amount of helium depending on the depth of the weld. The cylinder that contains the gas fits into the chamber on your welder. Pure argon is used for welds up to two millimeters thickness. The thicker the weld, the more helium you’ll want in the gas.",Why should I use some gas when welding?,The shielding gas is what protects the material you are welding from the environment. Oxygen and water vapor getting into your project will weaken the weld.,What gas should I use for welding?,"The gas you’ll use is argon, possibly combined with some amount of helium depending on the depth of the weld. The cylinder that contains the gas fits into the chamber on your welder.",How much gas should I use for welding?,"Pure argon is used for welds up to two millimeters thickness. The thicker the weld, the more helium you’ll want in the gas.",,,,,,,
